Epic,Company_Name
UDG,UDG Healthcare
UKCM,UK Commercial Property Trust
UKW,Greencoat UK Wind
ULE,Ultra Electronics Holdings
UTG,Unite Group
VCT,Victrex
VEIL,Vietnam Enterprise Investments
VOF,VinaCapital Vietnam Opp. Fund
VSVS,Vesuvius
VVO,Vivo Energy
WEIR,Weir Group
WIZZ,Wizz Air Holdings
WKP,Workspace Group
WMH,William Hill
WPCT,Woodford Patient Capital Trust
WTAN,Witan Investment Trust
WWH,Worldwide Healthcare Trust
